"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"1","11_5","9_7","9_7","27_5","9_7","7_3","9_7","19_2","11_5","9_7","9_7","19_2","9_7","52_4","9_7"
"2","19_2","11_5","11_5","17_3","11_5","11_8","11_5","27_5","19_2","11_5","19_2","27_5","19_2","79_5","11_5"
"3","7_3","27_5","63_4","62_4","11_8","15_5","19_2","7_3","7_3","19_2","27_5","11_8","11_8","22_3","27_5"
"4","15_5","42_9","63_9","63_4","17_3","42_9","27_5","11_8","17_3","27_5","7_3","15_5","40_9","39_3","15_5"
"5","42_9","47_1","16_10","63_9","40_9","63_4","7_3","17_3","40_9","7_3","11_8","42_9","52_4","51_4","17_3"
"6","44_10","63_9","17_5","83_4","44_10","83_4","11_8","40_9","47_1","15_5","15_5","44_10","64_8","57_2","44_10"
"7","47_1","3_1","27_6","86_4","60_3","84_3","15_5","60_3","52_4","17_3","40_9","47_1","94_3","76_1","47_1"
"8","52_4","27_6","10_8","16_2","63_4","97_5","17_3","80_6","60_3","40_9","42_9","64_8","16_10","93_5","52_4"
"9","60_3","30_8","12_9","27_6","63_9","2_5","40_9","83_4","62_4","42_9","44_10","80_6","24_6","94_6","60_3"
"10","62_4","53_6","13_8","29_4","64_8","16_2","42_9","84_3","80_6","44_10","47_1","86_4","41_10","10_7","62_4"
"11","63_4","6_4","25_4","73_5","86_4","17_5","44_10","97_5","86_4","52_4","60_3","94_3","49_10","19_10","63_9"
"12","83_4","8_6","31_10","12_9","94_3","20_9","47_1","2_5","94_3","60_3","62_4","2_5","62_7","36_3","64_8"
"13","84_3","10_8","39_10","18_8","97_5","42_1","52_4","10_9","2_5","62_4","64_8","10_9","73_5","57_5","80_6"
"14","94_3","12_9","56_2","26_1","3_1","49_10","62_4","16_2","3_1","63_4","80_6","17_5","97_8","59_7","83_4"
"15","97_5","19_6","57_2","29_9","16_10","50_1","63_4","24_6","10_9","63_9","84_3","20_1","6_2","65_8","84_3"
"16","3_1","39_10","58_6","30_7","17_5","54_3","63_9","29_4","20_1","64_8","97_5","29_7","8_1","66_3","86_4"
"17","16_2","51_4","60_9","32_6","20_1","70_8","64_8","29_7","24_6","80_6","10_9","42_1","33_6","67_1","2_5"
